utc (ms),lat (deg),lon (deg),speed (m/s),alt (m),heading (deg),satellites,accel x (m/s²),accel y (m/s²),accel z (m/s²),gyro x (deg/s),gyro y (deg/s),gyro z (deg/s),g_lon,g_lat,g_total,braking
1617530423000,50.3010636,4.6550936,24.09,256.6,31.88,19,1.834,-0.304,8.427,3.143,-0.250,1.500,0.187,0.031,0.190,0
1617530423000,50.3010710,4.6551008,24.14,256.7,31.90,19,2.453,-0.451,9.496,2.393,-0.357,1.214,0.250,0.046,0.254,0
1617530423000,50.3010784,4.6551080,24.18,256.8,31.91,19,2.296,0.000,10.114,-0.036,0.714,1.821,0.234,-0.000,0.234,0
1617530423000,50.3010858,4.6551153,24.23,256.8,31.93,19,2.757,-0.304,9.957,0.893,1.464,1.750,0.281,0.031,0.283,0
1617530423000,50.3010932,4.6551225,24.27,256.9,31.94,19,2.296,0.000,9.192,0.000,2.536,2.000,0.234,-0.000,0.234,0
1617530423000,50.3011006,4.6551297,24.32,256.9,31.96,19,1.834,0.000,9.653,1.607,2.536,2.000,0.187,-0.000,0.187,0
1617530423000,50.3011068,4.6551357,24.35,257.0,31.96,19,2.296,-0.451,9.349,0.893,0.679,1.607,0.234,0.046,0.238,0
1617530423000,50.3011130,4.6551418,24.38,257.0,31.96,19,1.678,-0.451,9.192,0.036,-0.357,1.536,0.171,0.046,0.177,0
1617530423000,50.3011192,4.6551479,24.41,257.1,31.96,19,1.678,-0.451,9.810,3.929,-1.143,1.821,0.171,0.046,0.177,0
1617530423000,50.3011254,4.6551539,24.45,257.1,31.96,19,1.678,0.000,10.114,0.679,-0.929,1.750,0.171,-0.000,0.171,0
1617530423000,50.3011316,4.6551599,24.48,257.1,31.96,19,2.453,0.147,11.183,0.321,-0.036,1.786,0.250,-0.015,0.250,0
1617530423000,50.3011378,4.6551660,24.51,257.2,31.95,19,1.991,-0.147,9.192,3.500,-1.536,1.643,0.203,0.015,0.204,0
1617530423000,50.3011441,4.6551721,24.55,257.2,31.96,19,2.296,-0.608,11.036,2.179,-1.393,1.857,0.234,0.062,0.242,0
1617530423000,50.3011503,4.6551783,24.58,257.3,31.97,19,2.296,-0.451,10.261,2.036,-1.250,1.786,0.234,0.046,0.238,0
1617530423000,50.3011566,4.6551844,24.62,257.3,31.98,19,1.834,0.765,9.653,2.107,-0.893,1.607,0.187,-0.078,0.203,0
1617530423000,50.3011629,4.6551905,24.65,257.3,31.99,19,1.678,-0.451,10.114,2.607,-1.321,2.000,0.171,0.046,0.177,0
1617530423000,50.3011691,4.6551967,24.68,257.4,32.00,19,2.296,-0.451,9.496,0.071,-1.821,2.429,0.234,0.046,0.238,0
1617530423000,50.3011754,4.6552028,24.72,257.4,32.01,19,1.678,-0.304,9.810,0.357,-1.500,1.893,0.171,0.031,0.174,0
1617530423000,50.3011817,4.6552090,24.76,257.5,32.01,19,1.373,-0.304,9.810,3.500,-1.107,1.964,0.140,0.031,0.143,0
1617530423000,50.3011880,4.6552152,24.80,257.5,32.01,19,1.373,0.304,9.810,0.107,-0.429,1.714,0.140,-0.031,0.143,0
1617530423000,50.3011944,4.6552213,24.84,257.6,32.01,19,1.678,-0.304,11.183,1.429,-0.321,1.929,0.171,0.031,0.174,0
1617530423000,50.3012007,4.6552275,24.87,257.6,32.01,19,2.296,-0.147,10.722,3.893,-1.214,2.107,0.234,0.015,0.234,0
1617530423000,50.3012070,4.6552337,24.91,257.7,32.01,19,1.373,0.000,9.192,3.536,-2.321,2.071,0.140,-0.000,0.140,0
1617530423000,50.3012133,4.6552399,24.95,257.7,32.01,19,1.373,0.000,10.261,2.464,-3.179,2.536,0.140,-0.000,0.140,0
1617530423000,50.3012181,4.6552446,24.95,257.7,32.04,19,1.069,0.765,9.957,1.857,-2.429,2.000,0.109,-0.078,0.134,0
1617530423000,50.3012228,4.6552492,24.96,257.8,32.06,19,1.226,0.000,10.575,4.714,-2.357,2.036,0.125,-0.000,0.125,0
1617530423000,50.3012276,4.6552539,24.96,257.8,32.08,19,1.226,-0.912,9.035,0.429,-1.357,1.929,0.125,0.093,0.156,0
1617530423000,50.3012323,4.6552586,24.97,257.8,32.11,19,1.373,0.147,10.261,0.607,-1.107,1.643,0.140,-0.015,0.141,0
1617530423200,50.3012399,4.6552661,25.00,257.9,32.08,19,1.678,-0.147,9.653,3.929,-2.357,2.143,0.171,0.015,0.172,0
1617530423400,50.3012476,4.6552735,25.03,257.9,32.05,19,0.765,0.765,9.035,1.536,-2.536,2.143,0.078,-0.078,0.110,0
1617530423600,50.3012552,4.6552810,25.07,258.0,32.02,19,2.139,-0.147,10.418,1.179,-1.714,2.179,0.218,0.015,0.219,0
1617530423800,50.3012629,4.6552884,25.10,258.1,31.99,19,1.678,-0.147,10.261,2.357,-1.214,2.071,0.171,0.015,0.172,0
1617530424000,50.3012705,4.6552959,25.13,258.1,31.96,19,1.678,-0.304,9.349,2.893,0.143,1.929,0.171,0.031,0.174,0
1617530424000,50.3012769,4.6553021,25.14,258.2,31.96,19,1.373,-0.451,9.810,1.107,2.143,2.179,0.140,0.046,0.147,0
1617530424000,50.3012833,4.6553084,25.16,258.2,31.96,19,1.226,-0.147,9.496,0.393,2.893,2.107,0.125,0.015,0.126,0
1617530424000,50.3012897,4.6553146,25.17,258.2,31.95,19,1.226,-0.608,9.349,2.786,2.321,2.429,0.125,0.062,0.140,0
1617530424000,50.3012961,4.6553209,25.19,258.3,31.95,19,1.226,0.000,10.114,0.107,-0.036,1.786,0.125,-0.000,0.125,0
1617530424000,50.3013025,4.6553271,25.20,258.3,31.95,19,1.069,0.451,10.114,2.179,-1.821,1.571,0.109,-0.046,0.118,0
1617530424000,50.3013089,4.6553334,25.22,258.4,31.94,19,0.608,-0.608,9.035,-0.393,-1.679,1.786,0.062,0.062,0.088,0
1617530424000,50.3013153,4.6553396,25.21,258.4,31.94,19,0.765,0.000,9.810,-1.571,-0.107,1.714,0.078,-0.000,0.078,0
1617530424000,50.3013217,4.6553459,25.21,258.5,31.94,19,0.451,-0.451,9.349,0.536,1.036,2.036,0.046,0.046,0.065,0
1617530424000,50.3013281,4.6553521,25.20,258.5,31.94,19,0.000,0.451,8.731,0.536,1.214,2.214,0.000,-0.046,0.046,0
